RIO DE JANEIRO,RIO GRANDE DO SUL,SANTA CATARINA,GOIÁS
LÍQUIDO,SÓLIDO,GASOSO,VAPOROSO
GAUCHINHA,PAULISTINHA,PIMENTINHA,ANDORINHA
MARGARIDA,MINNIE,A PEQUENA SEREIA,OLÍVIA PALITO
CUCA,NEGRINHO DO PASTOREIO,BOITATÁ,SACI-PERERÊ
JAMAICA,CUBA,EL SALVADOR,MÉXICO
DUQUE DE CAXIAS,MARECHAL RONDON,DOM PEDRO II,MARECHAL DEODORO
MARECHAL DEODORO,BARÃO DE MAUÁ,DUQUE DE CAXIAS,MARQUÊS DE POMBAL
RAUL GIL,BOLINHA,FLÁVIO CAVALCANTI,CHACRINHA
MONSTRO,GORILA,PRÍNCIPE,SAPO
VIRGEM,AQUÁRIO,CAPRICÓRNIO,ÁRIES
HARRISON FORD,GERALD FORD,HENRY FORD,ANNA FORD
PRETA,VERMELHA,AZUL,VERDE
200,100,170,220
21 DE ABRIL,12 DE OUTUBRO,7 DE SETEMBRO,25 DE DEZEMBRO
VENEZA,VITÓRIA,VANCOUVER,VATICANO
MÉDICOS,ESCOTEIROS,BOMBEIROS,POLICIAIS
ROMEU,ORFEU,HAMLET,IAGO
NOVE,DEZ,ONZE,DOZE
PARANÁ,SANTA CATARINA,SÃO PAULO,BAHIA
SEIS,OITO,DEZ,DOZE
URUGUAI,ARGENTINA,PARAGUAI,ESPANHA
TRAJANO,NERO,BRUTUS,CALÍGULA
JAPÃO,MÉXICO,ITÁLIA,ESTADOS UNIDOS
MILANENSE,MILANOSO,MILISTA,MILANÊS
CARPINTEIRO,RELOJOEIRO,CONFEITEIRO,BOMBEIRO
MORUMBI,PACAEMBU,MARACANÃ,MINEIRÃO
VULCÃO,COMIDA,INSTRUMENTO MUSICAL,TRIBO INDÍGENA
CAMICASES,SASHIMIS,HARAQUIRIS,SUMÔS
EMBARCAÇÃO,BRINQUEDO,MÚSICA,SÍMBOLO
JAPÃO,CHINA,ÍNDIA,INDONÉSIA
PRIMEIRA DAMA,DONA-PRIMA,PRIMA-DONA,OBRA-PRIMA
INSETO,ÁRVORE,VERME,VERDURA
MAR,MONTANHA,RIO,PRAIA
PARIS,COPENHAGUE,ROMA,LONDRES
EVEREST,MONTE SINAI,MONTE CASTELO,MONT BLANC
TAMISA,SENA,RENO,AUBE
FILA,PASTOR ALEMÃO,POODLE,SÃO-BERNARDO
NELSON PIQUET,NELSON MANDELA,NELSON NED,JOHN NELSON
ORLANDO SILVA,VICENTE CELESTINO,FRANCISCO ALVES,CARLOS GALHARDO
ANDORINHA,PATO SELVAGEM,PINGÜIM,MARRECO
ALEMANHA,BRASIL,VENEZUELA,ISRAEL
PAQUISTÃO,JAPÃO,TAILANDIA,EGITO
ARNOLD SCHWARZENEGGER,SYLVESTER STALLONE,STEVEN SEAGAL,JEAN CLAUDE VAN DAMME
CANNES,NORMANDIA,CAPRI,MARSELHA
POLÔNIA,FRANÇA,ITÁLIA,HOLANDA
DELTA,BETA,ALFA,GAMA
COSTA E SILVA,ERNESTO GEISEL,JOÃO FIGUEIREDO,ITAMAR FRANCO
CONVERSÃO,INVOLUÇÃO,REESTRUTURAÇÃO,REGRESSÃO
10 ONÇAS,10 GRAMAS,10 QUILOS,10 LIBRAS
HINDUÍSMO,XINTOÍSMO,BUDISMO,ISLAMISMO
BERLIM,NUREMBERGUE,MUNIQUE,PARIS
ASININO,CAPRINO,BUFALINO,MUAR
ATLANTICO,PACÍFICO,ÍNDICO,ÁRTICO
FERNANDO COLLOR,JOÃO FIGUEIREDO,TANCREDO NEVES,JOÃO GOULART
GUERRA FRIA,GUERRA DO VIETNÃ,GUERRA NAS ESTRELAS,GUERRA DA CORÉIA
NO PESCOÇO,NO OMBRO,NA CABEÇA,NO BRAÇO
TRUMAN CAPOTE,HENRY JAMES,JOHN STEINBECK,TONI MORRISON
ERNEST HEMINGWAY,MARCEL PROUST,T.S.ELLIOT,JAMES JOYCE
Rr,R,Rn,Ro
